event_id,nse,rmse,peak_mag_err_m,peak_time_err_h,obs_peak_m,sim_peak_m,model,horizon_h
296,0.3788289219558407,0.009828366522023284,0.0,1.0,0.043564,0.043564,persistence,1
297,0.46242799536133083,0.01326557581246904,0.0,1.0,0.052044,0.052044,persistence,1
298,-0.3556195226948222,0.04554008840824499,0.015923999999999994,0.6666666666666666,0.149711,0.165635,persistence,1
299,0.5526574854894641,0.008859885025965818,0.006044999999999995,0.5,0.065737,0.071782,persistence,1
300,0.3012693105856281,0.027872925280311323,0.0,1.0,0.123035,0.123035,persistence,1
301,0.1842961991150842,0.046956859322981354,0.0,1.0,0.20144,0.20144,persistence,1
302,-0.7295634165678702,0.05278443094076833,0.056091,0.5,0.139872,0.195963,persistence,1
303,0.2060022647060643,0.02163287152663291,0.001349000000000003,0.8333333333333334,0.0702,0.071549,persistence,1
304,0.22564180753913554,0.06462064059503776,0.0,1.0,0.250735,0.250735,persistence,1
305,0.10857166763768622,0.1441785257157482,0.03347200000000006,0.8333333333333334,0.746119,0.779591,persistence,1
306,0.16851174293509952,0.016450576308456245,0.0,1.0,0.068912,0.068912,persistence,1
307,0.2362022778182129,0.015703677814551145,0.0,1.0,0.064002,0.064002,persistence,1
308,0.9837749815880886,0.02086479434437042,0.0,1.0,0.50715,0.50715,persistence,1
309,0.8564241358006884,0.006205760103064743,0.0,1.0,0.054437,0.054437,persistence,1
310,0.7698228924241308,0.0044318609818562674,0.00019199999999999773,0.8333333333333334,0.036495,0.036687,persistence,1
311,0.6356586514700066,0.007679414982640915,0.0003239999999999979,0.8333333333333334,0.052754,0.053078,persistence,1
312,0.5590414104749002,0.008885180850719921,0.014200000000000004,0.16666666666666666,0.042905,0.057105,persistence,1
313,0.5565169411549211,0.0075463776407229234,0.0,1.0,0.053646,0.053646,persistence,1
314,0.39239683199772946,0.015751914190659588,0.0,1.0,0.103763,0.103763,persistence,1
315,0.31466315917964804,0.014482913962374744,0.0,1.0,0.116442,0.116442,persistence,1
316,0.38073568236375144,0.00861698156821394,0.017020000000000007,0.5,0.070311,0.087331,persistence,1
317,0.5579364124739903,0.006995706313242304,0.0,1.0,0.042286,0.042286,persistence,1
318,0.5330738694087368,0.010283835191369183,0.004868999999999998,0.3333333333333333,0.046749,0.051618,persistence,1
319,0.16331964998903126,0.03400887249946968,0.0,1.0,0.150928,0.150928,persistence,1
320,0.7366942429308405,0.008014960319221748,0.0,1.0,0.059195,0.059195,persistence,1
321,0.5252333771994012,0.010597529598696014,0.0,1.0,0.042053,0.042053,persistence,1
322,0.08747403904995332,0.03349932235850699,0.0,1.0,0.189268,0.189268,persistence,1
323,0.9776140294974025,0.022043813182309913,0.0,1.0,0.438583,0.438583,persistence,1
324,0.7629557122436632,0.009810347984074135,0.0,1.0,0.059742,0.059742,persistence,1
325,0.3944455897455351,0.015264343111597413,0.0011459999999999942,0.8333333333333334,0.063171,0.064317,persistence,1
326,0.13835221979850332,0.012497343290699084,0.0,1.0,0.058393,0.058393,persistence,1
327,0.05273937316977184,0.020928962708662992,0.0,1.0,0.103357,0.103357,persistence,1
328,-0.46235163618596165,0.019365322039818555,0.010803,0.3333333333333333,0.043442,0.054245,persistence,1
329,-0.04180746077403774,0.07098093189238446,0.0,1.0,0.388274,0.388274,persistence,1
330,-0.179333221705249,0.022887558722844745,0.0,1.0,0.059631,0.059631,persistence,1
331,0.1768327818575276,0.024719911005672706,0.0,1.0,0.174662,0.174662,persistence,1
332,-0.07571791925063387,0.06371530472343359,0.0,1.0,0.371538,0.371538,persistence,1
333,-0.24339462898542208,0.03900498593204237,0.0,1.0,0.116644,0.116644,persistence,1
334,0.004313325727449913,0.02302900143583258,0.0,1.0,0.082665,0.082665,persistence,1
335,0.1563354685748699,0.050040912498619014,0.0,1.0,0.20073,0.20073,persistence,1
336,0.024053193896093505,0.05884265771275121,0.0,1.0,0.20641,0.20641,persistence,1
337,-0.49203034550338676,0.11975775664708677,0.0,1.0,0.3754,0.3754,persistence,1
338,0.2289829959135804,0.05841611687548918,0.0,1.0,0.3842,0.3842,persistence,1
339,0.29550208123345234,0.054516971374206864,0.1311,0.16666666666666666,0.2718,0.4029,persistence,1
340,0.5645863921920998,0.03072973847703014,0.0,1.0,0.167258,0.167258,persistence,1
341,0.08152023925873997,0.046351067810682385,0.0,1.0,0.1915,0.1915,persistence,1
342,,0.04842008759949591,0.0532,0.3333333333333333,0.0,0.0532,persistence,1
343,-3.144349517106275,0.04390866541659706,0.003915999999999996,0.16666666666666666,0.052449,0.056365,persistence,1
344,0.07611326156063059,0.024825158923572777,0.0024139999999999995,0.3333333333333333,0.066629,0.069043,persistence,1
345,-0.8765490358339172,0.03824143810560235,0.0015410000000000007,0.6666666666666666,0.059489,0.06103,persistence,1
346,0.7072605087349282,0.012803537810475888,0.0,1.0,0.075048,0.075048,persistence,1
347,0.39130566622958385,0.017340434524258586,0.0,1.0,0.147885,0.147885,persistence,1
348,0.8155754971086306,0.006364544229346813,0.0,1.0,0.06032,0.06032,persistence,1
349,0.9248970579648991,0.00489393421459404,0.002587000000000006,0.3333333333333333,0.067329,0.069916,persistence,1
350,0.5946322006560179,0.009061249851481183,0.004152000000000003,0.3333333333333333,0.045078,0.04923,persistence,1
351,0.2538632504367906,0.037863190949313785,0.0,1.0,0.225601,0.225601,persistence,1
352,0.09704497459465533,0.08488019519866519,0.0,1.0,0.456834,0.456834,persistence,1
353,0.9188995984349926,0.009221271231030354,0.0,1.0,0.124117,0.124117,persistence,1
354,0.8651463456152344,0.007140241148424728,0.0,1.0,0.062424,0.062424,persistence,1
355,0.9144650805594694,0.07584191218899702,0.0,1.0,1.18902,1.18902,persistence,1
356,0.9813531752895395,0.014733575023883446,0.0,1.0,0.422724,0.422724,persistence,1
357,0.8048170638884988,0.004790096876879177,0.0,1.0,0.0377,0.0377,persistence,1
358,0.7450359269879596,0.003786451702431362,0.0,1.0,0.033,0.033,persistence,1
359,0.73423905093479,0.005211011195647101,0.0,1.0,0.0381,0.0381,persistence,1
360,0.7296599693608631,0.005912002133860341,0.0,1.0,0.0392,0.0392,persistence,1
361,0.7646087415390829,0.006039146108042569,0.0,1.0,0.042,0.042,persistence,1
362,0.7271384393485831,0.006659669213245562,0.0,1.0,0.0431,0.0431,persistence,1
363,0.7527259030353446,0.006733236879335186,0.0,1.0,0.0454,0.0454,persistence,1
364,0.7650903842001879,0.00695758781252627,0.0,1.0,0.0467,0.0467,persistence,1
365,0.7420471344550821,0.006403950320711812,0.0,1.0,0.0418,0.0418,persistence,1
366,0.5689807059611083,0.006992162682822165,0.0,1.0,0.0373,0.0373,persistence,1
367,0.3438702165741747,0.0054315022062240035,0.0,1.0,0.0342,0.0342,persistence,1
368,0.0741409723964972,0.011963632166848658,0.0,1.0,0.051,0.051,persistence,1
369,0.015752700502119854,0.012111970425418271,0.0,1.0,0.0467,0.0467,persistence,1
370,0.5571468605011101,0.006054786633438918,0.0020000000000000018,0.5,0.0327,0.0347,persistence,1
371,0.3596181750260513,0.010891414197697489,0.0,1.0,0.0445,0.0445,persistence,1
372,-0.3824702134447733,0.01297294574985078,0.0,1.0,0.0492,0.0492,persistence,1
373,0.2798521083586487,0.012750759781283623,0.0,1.0,0.0521,0.0521,persistence,1
374,0.8268584363154822,0.0039096443762746715,0.0,1.0,0.0336,0.0336,persistence,1
375,-0.0744605926551305,0.010930080817023572,0.0011999999999999997,0.5,0.0487,0.0499,persistence,1
376,0.7505985940120063,0.0046007908270826545,0.0,1.0,0.0331,0.0331,persistence,1
377,0.6700748510351624,0.0037171904316740975,0.0,1.0,0.0372,0.0372,persistence,1
378,0.7785680916898269,0.0045975680069953685,0.0,1.0,0.0351,0.0351,persistence,1
379,0.7693599850502402,0.005166048703847683,0.0,1.0,0.038,0.038,persistence,1
380,0.8307955034162442,0.00435328018706547,0.0,1.0,0.0374,0.0374,persistence,1
381,0.7903094788261931,0.005087905827969472,0.0,1.0,0.0395,0.0395,persistence,1
382,0.5121964986367369,0.035833110295901756,0.0,1.0,0.1891,0.1891,persistence,1
383,0.0126410056865216,0.023055184695711797,0.0,1.0,0.121,0.121,persistence,1
384,0.8403773812005951,0.003884997599639715,0.0,1.0,0.03725,0.03725,persistence,1
385,0.8436330156269227,0.004530251280742237,0.0,1.0,0.0406,0.0406,persistence,1
386,0.8552381348748865,0.0044406938118269675,0.0,1.0,0.04095,0.04095,persistence,1
387,0.8802019090716783,0.004192384587266768,0.0,1.0,0.0438,0.0438,persistence,1
388,0.8562323253295167,0.0050300474137056584,0.0,1.0,0.0473,0.0473,persistence,1
389,0.8759183370920745,0.004371022358435468,0.0,1.0,0.0442,0.0442,persistence,1
390,0.8718345167893445,0.004669610314612424,0.0,1.0,0.0499,0.0499,persistence,1
391,0.8166294520071484,0.0038182040571742913,0.0,1.0,0.0404,0.0404,persistence,1
392,0.49799100373630145,0.008463188080515984,0.0,1.0,0.0527,0.0527,persistence,1
393,0.856408960452901,0.0038770478459776584,0.0,1.0,0.0387,0.0387,persistence,1
394,0.8573086888606763,0.004301415083105991,0.0,1.0,0.0432,0.0432,persistence,1
395,0.8735315286648413,0.0043591386250311885,0.0,1.0,0.0458,0.0458,persistence,1
396,0.9011700273356895,0.004302016196900703,0.0,1.0,0.0498,0.0498,persistence,1
397,0.8996511787826714,0.004281015486547452,0.0,1.0,0.0493,0.0493,persistence,1
398,0.8913310131719984,0.003891517216973349,0.0,1.0,0.0471,0.0471,persistence,1
399,0.8866438135068783,0.003694630917838427,0.0,1.0,0.0453,0.0453,persistence,1
400,0.9048312974457855,0.0036947921946575194,0.0,1.0,0.0462,0.0462,persistence,1
401,0.8874347926604494,0.0045537447127711175,0.0,1.0,0.0478,0.0478,persistence,1
402,0.8561154031301154,0.005215116338457401,0.0,1.0,0.0483,0.0483,persistence,1
403,0.8919498811961966,0.004069169670742541,0.0,1.0,0.051,0.051,persistence,1
404,0.8854560296968886,0.002899107721592171,0.0,1.0,0.049,0.049,persistence,1
405,0.4190583234888664,0.008624166456525213,0.0,1.0,0.0765,0.0765,persistence,1
406,0.8622259715158064,0.0029981705825918702,0.0,1.0,0.037571428571428575,0.037571428571428575,persistence,1
407,0.8356859307970134,0.0031243722691325646,0.0,1.0,0.03525294117647059,0.03525294117647059,persistence,1
408,0.3342825304733661,0.007694804842545059,0.0,1.0,0.0488,0.0488,persistence,1
409,0.48056003986471496,0.005702600933557197,0.0,1.0,0.04586666666666667,0.04586666666666667,persistence,1
410,0.8579111185668437,0.003600583861628668,0.0,1.0,0.042,0.042,persistence,1
411,0.8340805064636445,0.003350511818783039,0.0,1.0,0.0396,0.0396,persistence,1
412,0.8860167902735124,0.0031607169070858943,0.0,1.0,0.0494,0.0494,persistence,1
413,0.7751470479188116,0.004437614860432362,0.0,1.0,0.0439,0.0439,persistence,1
414,0.8247735861398504,0.003739534141496243,-0.002799999999999997,0.0,0.0402,0.0374,persistence,1
415,0.9020569466607444,0.0039692736531175745,0.0,1.0,0.0492,0.0492,persistence,1
416,0.892972516814263,0.004267361307747939,0.0,1.0,0.0523,0.0523,persistence,1
417,0.8885497427779696,0.004564016079698096,0.0,1.0,0.0551,0.0551,persistence,1
418,0.8856956176514522,0.00494757848973202,0.0,1.0,0.058249999999999996,0.058249999999999996,persistence,1
419,0.8833844418080479,0.005100720889714633,0.0,1.0,0.0584,0.0584,persistence,1
420,0.8879058533024542,0.005046315717080208,0.0,1.0,0.0602,0.0602,persistence,1
421,0.8892170902759152,0.005096632646725123,0.0,1.0,0.0621,0.0621,persistence,1
422,0.8885589497496443,0.005200109264586309,0.0,1.0,0.0623,0.0623,persistence,1
423,0.8938617889717202,0.005010391724142714,0.0,1.0,0.0686,0.0686,persistence,1
424,0.8911126322839814,0.004295073879219512,0.0,1.0,0.0651,0.0651,persistence,1
425,0.8888776475015865,0.00418557722113973,0.0,1.0,0.0684,0.0684,persistence,1
426,0.884313980591683,0.003824665195407359,0.0,1.0,0.0605,0.0605,persistence,1
427,0.8675786934703317,0.004189795158338256,0.0,1.0,0.0597,0.0597,persistence,1
428,0.8691036463296502,0.004631643411323369,0.0,1.0,0.0645,0.0645,persistence,1
429,0.858332162579013,0.003920418162827605,0.0,1.0,0.0564,0.0564,persistence,1
430,0.8776708116775308,0.005005823115157084,0.0,1.0,0.0638,0.0638,persistence,1
431,0.8764449185016963,0.005229371236526602,0.0,1.0,0.0612,0.0612,persistence,1
432,0.879294093228266,0.005106929032004561,0.0,1.0,0.068,0.068,persistence,1
433,0.8786098550743715,0.005432889868666255,0.0,1.0,0.0705,0.0705,persistence,1
434,0.876196239485892,0.005010592222308321,0.0,1.0,0.0683,0.0683,persistence,1
435,0.8886623160420282,0.004474858842800238,0.0,1.0,0.0667,0.0667,persistence,1
436,0.8971849326864104,0.00469433809224144,0.0,1.0,0.0711,0.0711,persistence,1
437,0.9025602507902813,0.0049852059825572495,0.0,1.0,0.073,0.073,persistence,1
438,0.8980460390402725,0.005270220522803041,0.0,1.0,0.0755,0.0755,persistence,1
439,0.8830055806421371,0.0052666958753129055,0.0,1.0,0.075,0.075,persistence,1
440,0.8959634642345083,0.004933571602334845,0.0,1.0,0.0739,0.0739,persistence,1
441,0.8973696580195722,0.004778042326468054,0.0,1.0,0.0736,0.0736,persistence,1
442,0.8974519032311978,0.004763918853161352,0.0,1.0,0.0737,0.0737,persistence,1
443,0.8925712183196538,0.0048604197614517545,0.0,1.0,0.0761,0.0761,persistence,1
234,-19.988788942452622,0.06353933544834563,0.32968800000000004,-7.833333333333333,0.053413,0.383101,persistence,6
235,-4.142355354738855,0.031705070306688274,0.11029499999999999,-6.166666666666667,0.053413,0.163708,persistence,6
236,,0.07559427279543464,0.194238,1.0,0.0,0.194238,persistence,6
237,-0.7055510166403685,0.034923390582709074,0.0,6.0,0.110254,0.110254,persistence,6
238,,0.028272388464719425,0.037499,0.3333333333333333,0.0,0.037499,persistence,6
239,-12.022391143978739,0.031082099537866132,0.019667,1.1666666666666667,0.025794,0.045461,persistence,6
240,-26.31000969474272,0.05794905647474966,0.16744,1.0,0.028421,0.195861,persistence,6
241,-0.28962749848492075,0.08225392774208415,-0.232874,-4.5,0.27731,0.044436,persistence,6
242,-28.636060750358276,0.06934508539259333,0.243737,-1.3333333333333333,0.033573,0.27731,persistence,6
243,,0.03895636721842968,0.051202,0.6666666666666666,0.0,0.051202,persistence,6
244,-0.8482130740281804,0.1064216145910341,0.0,6.0,0.292017,0.292017,persistence,6
245,-1.0214145813751112,0.06216273800845584,0.0,6.0,0.231058,0.231058,persistence,6
246,-1.031950521467965,0.08773815311274004,0.0,6.0,0.27376,0.27376,persistence,6
247,-56.420038187344204,0.028740375545775233,0.047084,0.16666666666666666,0.014494,0.061578,persistence,6
248,-0.2739769936744263,0.05509141617108365,0.0,6.0,0.165432,0.165432,persistence,6
249,-0.4149160338261555,0.018726681551045975,0.0,6.0,0.053616,0.053616,persistence,6
250,-1.662381085810611,0.02040708325748991,0.006663999999999996,0.8333333333333334,0.027802,0.034466,persistence,6
251,-34.60373752068059,0.03392252375229473,0.03394900000000001,1.1666666666666667,0.022649,0.056598,persistence,6
252,-1.4392410730515754,0.02247942074297643,0.021787,-2.8333333333333335,0.036657,0.058444,persistence,6
253,-0.5139190315323829,0.019934986826682377,0.008053999999999999,-3.3333333333333335,0.052875,0.060929,persistence,6
254,-1.2359250098741605,0.049092065311166014,0.026777999999999996,5.333333333333333,0.138249,0.165027,persistence,6
255,0.7583605751578542,0.021764007492591206,0.0,6.0,0.143828,0.143828,persistence,6
256,0.7063518864657534,0.11523786926083043,0.0,6.0,0.915913,0.915913,persistence,6
257,-2.190207792746568,0.0375755201997818,0.107344,-0.8333333333333334,0.051293,0.158637,persistence,6
258,0.5342112111119908,0.47471284392838053,0.0,6.0,2.674709,2.674709,persistence,6
259,-3.6290467892497045,0.02560774718450228,0.016797,0.0,0.028309,0.045106,persistence,6
260,,0.038089185005720456,0.05391,0.8333333333333334,0.0,0.05391,persistence,6
261,-4.196388269920603,0.02642572571648425,0.020610999999999997,-7.333333333333333,0.039385,0.059996,persistence,6
262,-10.08642779872265,0.02237623894487592,0.016523000000000003,4.666666666666667,0.022862,0.039385,persistence,6
263,,0.04289821626110595,0.064702,0.6666666666666666,0.0,0.064702,persistence,6
264,-0.9060216044208682,0.0420400408774067,0.0,6.0,0.13267,0.13267,persistence,6
265,-6.653256023312422,0.02805069457056116,0.039436000000000006,0.5,0.023501,0.062937,persistence,6
266,,0.043109982709924624,0.06807,0.8333333333333334,0.0,0.06807,persistence,6
267,-0.42375830130291914,0.10831847824703765,0.0,6.0,0.50573,0.50573,persistence,6
268,-8.733691121561257,0.058369554565541916,0.23550000000000001,1.8333333333333333,0.055198,0.290698,persistence,6
269,,0.1993756148391369,0.63627,0.6666666666666666,0.0,0.63627,persistence,6
270,-17.633598633513508,0.10124818403945658,0.22919099999999998,2.0,0.069216,0.298407,persistence,6
271,-8.978740291168908,0.03471509072527148,0.02055,2.0,0.032305,0.052855,persistence,6
272,-0.31431082384062203,0.03777469786337301,0.0,6.0,0.138553,0.138553,persistence,6
273,0.35613426118728175,0.05252557941916914,0.005882999999999999,2.8333333333333335,0.183588,0.189471,persistence,6
274,-1.0147871428089368,0.07275850687150236,0.0,6.0,0.181661,0.181661,persistence,6
275,,0.02904287067574821,0.033462,3.6666666666666665,0.0,0.033462,persistence,6
276,,0.030809021558715646,0.035805,3.3333333333333335,0.0,0.035805,persistence,6
277,,0.030120661980809156,0.035156,2.3333333333333335,0.0,0.035156,persistence,6
278,,0.02898816907952852,0.033431,3.6666666666666665,0.0,0.033431,persistence,6
279,-36.845198028068225,0.02946944064054604,0.012688000000000001,2.5,0.022741,0.035429,persistence,6
280,-16.232876193114738,0.03106179102503471,0.007445000000000004,3.5,0.029171,0.036616,persistence,6
281,-14.369144408098254,0.02987648400259212,0.009849,4.666666666666667,0.026869,0.036718,persistence,6
282,,0.029703941614614794,0.033999,3.0,0.0,0.033999,persistence,6
283,,0.04240978084215951,0.06314,0.16666666666666666,0.0,0.06314,persistence,6
284,-25.972818331869906,0.025283858669220727,0.010234,2.6666666666666665,0.022974,0.033208,persistence,6
285,-13.696631986505329,0.029705772584353588,0.007880999999999999,3.0,0.027386,0.035267,persistence,6
286,-11.614559776242025,0.02830550395661761,0.005648999999999998,4.833333333333333,0.028644,0.034293,persistence,6
287,0.7713849277348107,0.08133305571847362,0.0,6.0,0.480981,0.480981,persistence,6
